Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Url
2018,Alavés,La Liga,Fernando Pacheco,ESP,GK,25,1992,38,37,3357,37.3,50,1.34,171,130,74.9,15,2,20,12,32.4,11,7,3,1,30,https://fbref.com/en/players/97852360/Fernando-Pacheco
2018,Alavés,La Liga,Antonio Sivera,ESP,GK,20,1996,1,1,63,0.7,0,0,2,2,100,0,0,1,0,0,0,0,0,0,NA,https://fbref.com/en/players/9970da54/Antonio-Sivera
2018,Amiens,Ligue 1,Jean-Christophe Bouet,FRA,GK,34,1983,1,1,90,1,1,1,6,5,83.3,0,0,1,0,0,0,0,0,0,NA,https://fbref.com/en/players/96908f80/Jean-Christophe-Bouet
2018,Amiens,Ligue 1,Régis Gurtner,FRA,GK,30,1986,37,37,3330,37,41,1.11,178,141,79.2,12,9,16,11,29.7,4,4,0,0,0,https://fbref.com/en/players/bc270726/Regis-Gurtner
2018,Angers,Ligue 1,Ludovic Butelle,FRA,GK,34,1983,19,19,1653,18.4,22,1.2,70,52,72.9,6,5,8,4,21.1,3,3,0,0,0,https://fbref.com/en/players/26975a92/Ludovic-Butelle
2018,Angers,Ligue 1,Alexandre Letellier,FRA,GK,26,1990,13,13,1170,13,17,1.31,46,32,67.4,2,7,4,1,7.7,2,2,0,0,0,https://fbref.com/en/players/96fcd380/Alexandre-Letellier
2018,Angers,Ligue 1,Mathieu Michel,FRA,GK,25,1991,7,6,597,6.6,13,1.96,27,17,59.3,1,2,3,1,16.7,2,2,0,0,0,https://fbref.com/en/players/e39f8724/Mathieu-Michel
2018,Arsenal,Premier League,Petr Čech,CZE,GK,35,1982,34,34,3039,33.8,48,1.42,129,84,66.7,16,6,12,11,32.4,6,5,1,0,16.7,https://fbref.com/en/players/71672fa0/Petr-Cech
2018,Arsenal,Premier League,David Ospina,COL,GK,28,1988,5,4,381,4.2,3,0.71,13,10,76.9,3,0,1,2,50,0,0,0,0,NA,https://fbref.com/en/players/82b1198a/David-Ospina
2018,Atalanta,Serie A,Etrit Berisha,ALB,GK,28,1989,31,31,2790,31,34,1.1,99,66,66.7,13,10,8,8,25.8,2,1,1,0,50,https://fbref.com/en/players/ee833569/Etrit-Berisha
