Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG+_per__minus__Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,Url
2018,Alavés,La Liga,Fernando Pacheco,ESP,GK,25,1992,37.3,50,7,2,7,2,53.1,0.28,5.1,0.14,276,656,42.1,595,83,68.9,47.2,276,89.1,60.1,414,20,4.8,12,0.32,13,https://fbref.com/en/players/97852360/Fernando-Pacheco
2018,Alavés,La Liga,Antonio Sivera,ESP,GK,20,1996,0.7,0,0,0,0,0,0.3,0.17,0.3,0.48,5,10,50,8,2,75,50.1,4,100,67.8,5,1,20,0,0,11.5,https://fbref.com/en/players/9970da54/Antonio-Sivera
2018,Amiens,Ligue 1,Jean-Christophe Bouet,FRA,GK,34,1983,1,1,0,0,0,0,1.1,0.19,0.1,0.14,2,15,13.3,12,2,58.3,48.8,8,100,62.6,11,3,27.3,0,0,18,https://fbref.com/en/players/96908f80/Jean-Christophe-Bouet
2018,Amiens,Ligue 1,Régis Gurtner,FRA,GK,30,1986,37,41,4,0,2,0,50.5,0.27,9.5,0.26,246,725,33.9,739,71,62.5,47.2,269,97.8,65.6,475,36,7.6,21,0.57,14.9,https://fbref.com/en/players/bc270726/Regis-Gurtner
2018,Angers,Ligue 1,Ludovic Butelle,FRA,GK,34,1983,18.4,22,3,1,1,1,20.5,0.26,-0.5,-0.03,63,228,27.6,303,63,48.8,40.4,89,89.9,60.6,175,21,12,23,1.25,17.5,https://fbref.com/en/players/26975a92/Ludovic-Butelle
2018,Angers,Ligue 1,Alexandre Letellier,FRA,GK,26,1990,13,17,2,0,3,1,13.6,0.27,-2.4,-0.19,72,164,43.9,197,44,53.3,43.9,59,100,72.1,133,9,6.8,6,0.46,16.5,https://fbref.com/en/players/96fcd380/Alexandre-Letellier
2018,Angers,Ligue 1,Mathieu Michel,FRA,GK,25,1991,6.6,13,2,0,0,1,9,0.27,-3,-0.45,34,80,42.5,103,29,48.5,40.1,34,88.2,61.3,59,1,1.7,2,0.3,16,https://fbref.com/en/players/e39f8724/Mathieu-Michel
2018,Arsenal,Premier League,Petr Čech,CZE,GK,35,1982,33.8,48,5,0,8,0,49.7,0.35,1.7,0.05,179,464,38.6,815,217,39.9,38.1,223,62.3,51.6,293,31,10.6,26,0.77,15,https://fbref.com/en/players/71672fa0/Petr-Cech
2018,Arsenal,Premier League,David Ospina,COL,GK,28,1988,4.2,3,0,0,1,0,3.9,0.3,0.9,0.21,28,61,45.9,115,28,33.9,34.7,28,78.6,53,47,6,12.8,2,0.47,12.4,https://fbref.com/en/players/82b1198a/David-Ospina
2018,Atalanta,Serie A,Etrit Berisha,ALB,GK,28,1989,31,34,1,2,2,0,27.3,0.26,-6.7,-0.22,196,438,44.7,587,156,42.9,37.8,214,86.9,58.9,249,14,5.6,15,0.48,14.3,https://fbref.com/en/players/ee833569/Etrit-Berisha
