Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs,Att_Vs,Tkl_percent_Vs,Past_Vs,Press_Pressures,Succ_Pressures,_percent_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Url
2018,Augsburg,Bundesliga,Simon Asta,GER,MF,16,2001,0.1,1,0,1,0,0,0,0,NA,0,3,0,0,1,0,2,1,0,0,1,0,1,0,0,https://fbref.com/en/players/dfc85b89/Simon-Asta
2018,Augsburg,Bundesliga,Daniel Baier,GER,MF,33,1984,28.2,60,46,29,30,1,19,72,26.4,53,462,135,29.2,178,244,40,44,4,0,40,42,102,59,1,https://fbref.com/en/players/f261abcb/Daniel-Baier
2018,Augsburg,Bundesliga,Caiuby,BRA,"FW,MF",29,1988,31.7,45,24,22,20,3,13,54,24.1,41,641,177,27.6,126,347,168,52,4,0,48,15,60,48,0,https://fbref.com/en/players/c6637acf/Caiuby
2018,Augsburg,Bundesliga,Sergio Córdova,VEN,"FW,MF",19,1997,6.5,6,4,0,5,1,1,7,14.3,6,139,37,26.6,11,68,60,8,3,0,5,1,7,5,0,https://fbref.com/en/players/229cd98a/Sergio-Cordova
2018,Augsburg,Bundesliga,Kevin Danso,AUT,DF,18,1998,12.3,17,11,11,6,0,5,14,35.7,9,113,45,39.8,72,35,6,27,12,0,15,14,31,92,1,https://fbref.com/en/players/6e33125f/Kevin-Danso
2018,Augsburg,Bundesliga,Ji Dong-won,KOR,"FW,MF",26,1991,0.2,0,0,0,0,0,0,2,0,2,9,1,11.1,1,8,0,1,1,0,0,1,1,0,0,https://fbref.com/en/players/7d841904/Ji-Dong-won
2018,Augsburg,Bundesliga,Alfreð Finnbogason,ISL,FW,28,1989,20.2,14,9,4,6,4,3,12,25,9,381,102,26.8,27,160,194,16,2,1,14,12,26,8,0,https://fbref.com/en/players/f9e7c4ac/Alfred-Finnbogason
2018,Augsburg,Bundesliga,Raphael Framberger,GER,DF,21,1995,7.7,14,9,7,5,2,8,17,47.1,9,110,44,40,44,41,25,11,2,0,9,10,24,23,0,https://fbref.com/en/players/626fab5f/Raphael-Framberger
2018,Augsburg,Bundesliga,Jeffrey Gouweleeuw,NED,DF,26,1991,26.5,47,31,33,11,3,14,41,34.1,27,270,85,31.5,162,92,16,44,7,0,37,40,87,134,1,https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw
2018,Augsburg,Bundesliga,Michael Gregoritsch,AUT,"MF,FW",23,1994,28.1,21,15,5,11,5,6,31,19.4,25,528,141,26.7,60,260,208,29,2,0,27,12,33,57,0,https://fbref.com/en/players/8e235926/Michael-Gregoritsch
2018,Augsburg,Bundesliga,Marcel Heller,GER,"FW,MF",31,1986,14.4,33,24,19,12,2,6,31,19.4,25,291,62,21.3,86,122,83,18,1,0,17,10,43,9,0,https://fbref.com/en/players/11dbba47/Marcel-Heller
2018,Augsburg,Bundesliga,Martin Hinteregger,AUT,DF,24,1992,29.5,62,40,44,17,1,25,43,58.1,18,256,92,35.9,163,83,10,56,29,0,27,34,96,146,4,https://fbref.com/en/players/080440a4/Martin-Hinteregger
2018,Augsburg,Bundesliga,Marwin Hitz,SUI,GK,29,1987,32,0,0,0,0,0,0,1,0,1,4,2,50,4,0,0,0,0,0,0,0,0,3,1,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2018,Augsburg,Bundesliga,Koo Ja-cheol,KOR,"MF,FW",28,1989,22.7,46,30,17,23,6,15,39,38.5,24,394,106,26.9,97,224,73,27,1,0,26,28,74,32,1,https://fbref.com/en/players/3c05e082/Koo-Ja-cheol
