Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,Drib_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,Drib_GCA,Sh_GCA,Fld_GCA,Def_GCA,Url
2018,Augsburg,Bundesliga,Simon Asta,GER,MF,16,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/dfc85b89/Simon-Asta
2018,Augsburg,Bundesliga,Daniel Baier,GER,MF,33,1984,28.2,63,2.23,47,3,1,5,6,1,6,0.21,4,1,0,1,0,0,https://fbref.com/en/players/f261abcb/Daniel-Baier
2018,Augsburg,Bundesliga,Caiuby,BRA,"FW,MF",29,1988,31.7,71,2.24,51,1,7,8,4,0,13,0.41,9,0,0,4,0,0,https://fbref.com/en/players/c6637acf/Caiuby
2018,Augsburg,Bundesliga,Sergio Córdova,VEN,"FW,MF",19,1997,6.5,19,2.91,13,1,0,3,1,1,2,0.31,1,0,0,1,0,0,https://fbref.com/en/players/229cd98a/Sergio-Cordova
2018,Augsburg,Bundesliga,Kevin Danso,AUT,DF,18,1998,12.3,15,1.22,9,2,2,1,0,1,1,0.08,0,0,0,1,0,0,https://fbref.com/en/players/6e33125f/Kevin-Danso
2018,Augsburg,Bundesliga,Ji Dong-won,KOR,"FW,MF",26,1991,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/7d841904/Ji-Dong-won
2018,Augsburg,Bundesliga,Alfreð Finnbogason,ISL,FW,28,1989,20.2,58,2.88,41,1,6,7,3,0,8,0.4,6,0,0,1,1,0,https://fbref.com/en/players/f9e7c4ac/Alfred-Finnbogason
2018,Augsburg,Bundesliga,Raphael Framberger,GER,DF,21,1995,7.7,17,2.2,16,1,0,0,0,0,1,0.13,1,0,0,0,0,0,https://fbref.com/en/players/626fab5f/Raphael-Framberger
2018,Augsburg,Bundesliga,Jeffrey Gouweleeuw,NED,DF,26,1991,26.5,18,0.68,11,2,1,1,1,2,0,0,0,0,0,0,0,0,https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw
2018,Augsburg,Bundesliga,Michael Gregoritsch,AUT,"MF,FW",23,1994,28.1,64,2.28,45,3,2,7,6,1,11,0.39,6,1,1,1,2,0,https://fbref.com/en/players/8e235926/Michael-Gregoritsch
