Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Url
2018,Augsburg,Bundesliga,Marwin Hitz,SUI,GK,29,1987,32,32,2880,32,42,1.31,159,118,74.2,10,10,12,9,28.1,2,1,1,0,50,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2018,Augsburg,Bundesliga,Andreas Luthe,GER,GK,30,1987,2,2,180,2,4,2,6,3,50,0,1,1,0,0,1,1,0,0,0,https://fbref.com/en/players/7fe12375/Andreas-Luthe
2018,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,31,1986,3,3,270,3,2,0.67,8,6,75,2,0,1,2,66.7,0,0,0,0,NA,https://fbref.com/en/players/8778c910/Manuel-Neuer
2018,Bayern Munich,Bundesliga,Tom Starke,GER,GK,36,1981,2,2,180,2,0,0,6,6,100,2,0,0,2,100,0,0,0,0,NA,https://fbref.com/en/players/5b52d1f7/Tom-Starke
2018,Bayern Munich,Bundesliga,Sven Ulreich,GER,GK,28,1988,29,29,2610,29,26,0.9,79,57,68.4,23,3,3,12,41.4,5,1,4,0,80,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2018,Dortmund,Bundesliga,Roman Bürki,SUI,GK,26,1990,33,33,2969,33,43,1.3,140,100,70.7,15,9,9,12,36.4,2,2,0,0,0,https://fbref.com/en/players/9d12e142/Roman-Burki
2018,Dortmund,Bundesliga,Roman Weidenfeller,GER,GK,36,1980,2,1,91,1,4,3.96,7,2,42.9,0,1,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/16b8fabd/Roman-Weidenfeller
2018,Eint Frankfurt,Bundesliga,Lukáš Hrádecký,FIN,GK,27,1989,34,34,3060,34,45,1.32,133,91,67.7,14,7,13,7,20.6,3,2,0,1,0,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky
2018,Freiburg,Bundesliga,Rafał Gikiewicz,POL,GK,29,1987,2,1,154,1.7,3,1.75,7,4,57.1,1,1,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/17376543/Rafal-Gikiewicz
2018,Freiburg,Bundesliga,Alexander Schwolow,GER,GK,25,1992,33,33,2906,32.3,53,1.64,142,97,65.5,7,11,14,9,27.3,5,4,0,1,0,https://fbref.com/en/players/0d55d942/Alexander-Schwolow
2018,Hamburger SV,Bundesliga,Christian Mathenia,GER,GK,25,1992,24,24,2160,24,38,1.58,93,58,62.4,4,6,14,6,25,4,3,0,1,0,https://fbref.com/en/players/4a15e95b/Christian-Mathenia
2018,Hamburger SV,Bundesliga,Julian Pollersbeck,GER,GK,22,1994,10,10,900,10,15,1.5,47,31,68.1,4,1,5,1,10,0,0,0,0,NA,https://fbref.com/en/players/d6f6ce93/Julian-Pollersbeck
2018,Hannover 96,Bundesliga,Michael Esser,GER,GK,29,1987,3,3,270,3,9,3,21,12,57.1,1,0,2,0,0,1,0,0,1,NA,https://fbref.com/en/players/83e0eeb4/Michael-Esser
2018,Hannover 96,Bundesliga,Philipp Tschauner,GER,GK,31,1985,31,31,2790,31,45,1.45,152,107,71.7,9,9,13,5,16.1,3,2,0,1,0,https://fbref.com/en/players/73e2f6eb/Philipp-Tschauner
2018,Hertha BSC,Bundesliga,Rune Jarstein,NOR,GK,32,1984,31,31,2790,31,44,1.42,130,92,70,10,10,11,7,22.6,6,5,0,1,0,https://fbref.com/en/players/27d2618c/Rune-Jarstein
2018,Hertha BSC,Bundesliga,Thomas Kraft,GER,GK,29,1988,3,3,270,3,2,0.67,12,11,91.7,0,3,0,1,33.3,1,1,0,0,0,https://fbref.com/en/players/bb25c778/Thomas-Kraft
2018,Hoffenheim,Bundesliga,Oliver Baumann,GER,GK,27,1990,34,34,3060,34,48,1.41,146,104,69.2,15,10,9,10,29.4,4,3,1,0,25,https://fbref.com/en/players/47064058/Oliver-Baumann
2018,Köln,Bundesliga,Timo Horn,GER,GK,24,1993,34,34,3060,34,70,2.06,197,135,68.5,5,7,22,5,14.7,9,8,1,0,11.1,https://fbref.com/en/players/3cd9e95a/Timo-Horn
2018,Leverkusen,Bundesliga,Bernd Leno,GER,GK,25,1992,33,33,2970,33,40,1.21,104,68,66.3,15,10,8,10,30.3,5,5,0,0,0,https://fbref.com/en/players/2628fd2b/Bernd-Leno
2018,Leverkusen,Bundesliga,Ramazan Özcan,AUT,GK,33,1984,1,1,90,1,4,4,7,3,42.9,0,0,1,0,0,1,0,1,0,100,https://fbref.com/en/players/a165a577/Ramazan-Ozcan
2018,M'Gladbach,Bundesliga,Tobias Sippel,GER,GK,29,1988,5,4,435,4.8,10,2.07,24,14,58.3,1,0,4,1,25,0,0,0,0,NA,https://fbref.com/en/players/0d8a37c2/Tobias-Sippel
2018,M'Gladbach,Bundesliga,Yann Sommer,SUI,GK,28,1988,30,30,2625,29.2,42,1.44,145,106,73.8,12,8,9,6,20,4,4,0,0,0,https://fbref.com/en/players/420c18a1/Yann-Sommer
2018,Mainz 05,Bundesliga,René Adler,GER,GK,32,1985,14,14,1260,14,18,1.29,51,34,66.7,5,3,6,4,28.6,2,1,0,1,0,https://fbref.com/en/players/f71890f5/Rene-Adler
2018,Mainz 05,Bundesliga,Florian Müller,GER,GK,19,1997,5,5,450,5,7,1.4,19,11,63.2,1,1,3,1,20,1,0,1,0,100,https://fbref.com/en/players/cbac6ec9/Florian-Muller
2018,Mainz 05,Bundesliga,Robin Zentner,GER,GK,22,1994,15,15,1350,15,27,1.8,66,44,65.2,3,5,7,2,13.3,4,4,0,0,0,https://fbref.com/en/players/5c4bf6ba/Robin-Zentner
2018,RB Leipzig,Bundesliga,Péter Gulácsi,HUN,GK,27,1990,33,33,2970,33,52,1.58,143,95,67.1,15,8,10,6,18.2,5,5,0,0,0,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi
2018,RB Leipzig,Bundesliga,Yvon Mvogo,SUI,GK,23,1994,1,1,90,1,1,1,4,3,75,0,0,1,0,0,0,0,0,0,NA,https://fbref.com/en/players/dc29b608/Yvon-Mvogo
2018,Schalke 04,Bundesliga,Ralf Fährmann,GER,GK,28,1988,34,34,3015,33.5,37,1.1,121,87,71.9,18,9,7,12,35.3,6,3,2,1,40,https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann
2018,Schalke 04,Bundesliga,Alexander Nübel,GER,GK,20,1996,1,0,45,0.5,0,0,2,2,100,0,0,0,0,NA,0,0,0,0,NA,https://fbref.com/en/players/afb0c500/Alexander-Nubel
2018,Stuttgart,Bundesliga,Ron-Robert Zieler,GER,GK,28,1989,34,34,3060,34,36,1.06,146,113,78.1,15,6,13,12,35.3,6,4,2,0,33.3,https://fbref.com/en/players/a0606ae8/Ron-Robert-Zieler
2018,Werder Bremen,Bundesliga,Jiří Pavlenka,CZE,GK,25,1992,34,34,3060,34,40,1.18,157,119,75.8,10,12,12,8,23.5,4,2,1,1,33.3,https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka
2018,Wolfsburg,Bundesliga,Koen Casteels,BEL,GK,25,1992,34,34,3060,34,48,1.41,143,102,70.6,6,15,13,8,23.5,10,6,3,1,33.3,https://fbref.com/en/players/db401046/Koen-Casteels
2019,Augsburg,Bundesliga,Fabian Giefer,GER,GK,28,1990,4,4,360,4,7,1.75,18,11,61.1,1,1,2,0,0,0,0,0,0,NA,https://fbref.com/en/players/fbefefdb/Fabian-Giefer
2019,Augsburg,Bundesliga,Gregor Kobel,SUI,GK,20,1997,16,16,1390,15.4,42,2.72,85,44,51.8,4,2,10,3,18.8,2,1,1,0,50,https://fbref.com/en/players/cd59b9df/Gregor-Kobel
2019,Augsburg,Bundesliga,Andreas Luthe,GER,GK,31,1987,15,14,1310,14.6,22,1.51,77,56,71.4,3,5,6,2,14.3,0,0,0,0,NA,https://fbref.com/en/players/7fe12375/Andreas-Luthe
2019,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,32,1986,26,26,2303,25.6,23,0.9,51,32,60.8,20,3,3,10,38.5,3,3,0,0,0,https://fbref.com/en/players/8778c910/Manuel-Neuer
2019,Bayern Munich,Bundesliga,Sven Ulreich,GER,GK,29,1988,9,8,757,8.4,9,1.07,20,13,65,4,3,1,2,25,3,2,0,1,0,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2019,Dortmund,Bundesliga,Roman Bürki,SUI,GK,27,1990,32,32,2880,32,40,1.25,125,88,71.2,21,7,4,10,31.3,4,4,0,0,0,https://fbref.com/en/players/9d12e142/Roman-Burki
2019,Dortmund,Bundesliga,Marwin Hitz,SUI,GK,30,1987,2,2,180,2,4,2,5,1,20,2,0,0,0,0,1,0,0,1,NA,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
