Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG+_per__minus__Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,Url
2018,Augsburg,Bundesliga,Marwin Hitz,SUI,GK,29,1987,32,42,1,2,10,1,42.8,0.26,1.8,0.06,272,576,47.2,860,136,49.5,41.2,246,61,48.5,246,18,7.3,23,0.72,14.4,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2018,Augsburg,Bundesliga,Andreas Luthe,GER,GK,30,1987,2,4,1,0,1,0,3.4,0.41,-0.6,-0.31,13,29,44.8,66,12,36.4,35.8,14,35.7,39.3,20,4,20,3,1.5,16.5,https://fbref.com/en/players/7fe12375/Andreas-Luthe
2018,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,31,1986,3,2,0,0,0,0,1.5,0.19,-0.5,-0.17,18,28,64.3,73,8,35.6,34.3,8,25,32.6,5,0,0,1,0.33,12.1,https://fbref.com/en/players/8778c910/Manuel-Neuer
2018,Bayern Munich,Bundesliga,Tom Starke,GER,GK,36,1981,2,0,0,0,0,0,1.5,0.25,1.5,0.76,10,22,45.5,46,9,34.8,33.3,9,66.7,46.7,15,2,13.3,3,1.5,23.6,https://fbref.com/en/players/5b52d1f7/Tom-Starke
2018,Bayern Munich,Bundesliga,Sven Ulreich,GER,GK,28,1988,29,26,1,1,2,3,25,0.28,2,0.07,130,337,38.6,790,139,35.2,34.1,136,43.4,41.7,168,12,7.1,25,0.86,16.8,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2018,Dortmund,Bundesliga,Roman Bürki,SUI,GK,26,1990,33,43,2,1,3,0,48.2,0.33,5.2,0.16,184,517,35.6,1027,169,35.7,36.1,219,68.5,55.2,268,27,10.1,38,1.15,17.5,https://fbref.com/en/players/9d12e142/Roman-Burki
2018,Dortmund,Bundesliga,Roman Weidenfeller,GER,GK,36,1980,1,4,0,0,1,0,3.4,0.49,-0.6,-0.58,4,26,15.4,34,1,55.9,40.3,8,87.5,60.8,7,0,0,1,1,17.4,https://fbref.com/en/players/16b8fabd/Roman-Weidenfeller
2018,Eint Frankfurt,Bundesliga,Lukáš Hrádecký,FIN,GK,27,1989,34,45,2,2,8,2,41,0.3,-2,-0.06,282,704,40.1,1060,164,50.8,41.5,216,76.9,58.9,301,24,8,35,1.03,15.2,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky
2018,Freiburg,Bundesliga,Rafał Gikiewicz,POL,GK,29,1987,1.7,3,0,0,0,0,2.2,0.31,-0.8,-0.47,26,59,44.1,52,8,69.2,50.3,24,95.8,68.2,28,4,14.3,2,1.18,14.2,https://fbref.com/en/players/17376543/Rafal-Gikiewicz
2018,Freiburg,Bundesliga,Alexander Schwolow,GER,GK,25,1992,32.3,53,4,1,9,4,44.5,0.3,-4.5,-0.14,319,791,40.3,1022,116,52.4,42.7,288,88.5,66,326,19,5.8,30,0.93,18.2,https://fbref.com/en/players/0d55d942/Alexander-Schwolow
2018,Hamburger SV,Bundesliga,Christian Mathenia,GER,GK,25,1992,24,38,3,0,4,1,36.4,0.38,-0.6,-0.02,126,432,29.2,507,73,57.2,44.7,181,78.5,58.5,180,9,5,11,0.46,14.3,https://fbref.com/en/players/4a15e95b/Christian-Mathenia
2018,Hamburger SV,Bundesliga,Julian Pollersbeck,GER,GK,22,1994,10,15,0,1,1,0,16.4,0.36,1.4,0.14,80,213,37.6,481,46,38.3,36.7,63,46,44,72,9,12.5,20,2,18.8,https://fbref.com/en/players/d6f6ce93/Julian-Pollersbeck
2018,Hannover 96,Bundesliga,Michael Esser,GER,GK,29,1987,3,9,0,0,0,0,5.2,0.25,-3.8,-1.27,20,54,37,95,18,46.3,37.1,26,38.5,38.3,32,3,9.4,2,0.67,13.2,https://fbref.com/en/players/83e0eeb4/Michael-Esser
2018,Hannover 96,Bundesliga,Philipp Tschauner,GER,GK,31,1985,31,45,2,1,12,0,47.6,0.31,2.6,0.08,271,579,46.8,852,150,49.3,38.8,252,63.1,45.7,297,10,3.4,21,0.68,15.3,https://fbref.com/en/players/73e2f6eb/Philipp-Tschauner
2018,Hertha BSC,Bundesliga,Rune Jarstein,NOR,GK,32,1984,31,44,5,0,8,1,36.3,0.25,-6.7,-0.21,297,772,38.5,860,90,65.6,47.1,233,89.3,63,292,20,6.8,14,0.45,13.2,https://fbref.com/en/players/27d2618c/Rune-Jarstein
2018,Hertha BSC,Bundesliga,Thomas Kraft,GER,GK,29,1988,3,2,1,0,0,0,3.8,0.24,1.8,0.59,27,81,33.3,108,6,61.1,43.7,28,53.6,46.3,25,0,0,3,1,16,https://fbref.com/en/players/bb25c778/Thomas-Kraft
2018,Hoffenheim,Bundesliga,Oliver Baumann,GER,GK,27,1990,34,48,3,1,9,3,41.2,0.27,-3.8,-0.11,219,620,35.3,1175,174,40.8,35.9,230,61.3,48.7,311,20,6.4,37,1.09,15.6,https://fbref.com/en/players/47064058/Oliver-Baumann
2018,Köln,Bundesliga,Timo Horn,GER,GK,24,1993,34,70,8,0,7,0,71.8,0.33,1.8,0.05,293,755,38.8,774,82,66.3,48.9,279,86.7,61.7,370,28,7.6,33,0.97,15.7,https://fbref.com/en/players/3cd9e95a/Timo-Horn
2018,Leverkusen,Bundesliga,Bernd Leno,GER,GK,25,1992,33,40,5,2,3,0,34.5,0.3,-5.5,-0.17,216,578,37.4,982,131,44.6,38.8,225,62.2,50.6,223,12,5.4,32,0.97,18,https://fbref.com/en/players/2628fd2b/Bernd-Leno
2018,Leverkusen,Bundesliga,Ramazan Özcan,AUT,GK,33,1984,1,4,0,0,0,0,3.2,0.42,-0.8,-0.78,4,12,33.3,32,6,31.3,34.1,6,33.3,32.8,6,0,0,1,1,19.2,https://fbref.com/en/players/a165a577/Ramazan-Ozcan
2018,M'Gladbach,Bundesliga,Tobias Sippel,GER,GK,29,1988,4.8,10,0,0,0,0,9.9,0.41,-0.1,-0.02,34,90,37.8,148,14,45.3,41,29,79.3,58.2,41,2,4.9,6,1.25,18,https://fbref.com/en/players/0d8a37c2/Tobias-Sippel
2018,M'Gladbach,Bundesliga,Yann Sommer,SUI,GK,28,1988,29.2,42,4,0,6,1,40.9,0.27,-0.1,0,199,520,38.3,986,132,38.5,35.8,228,61.4,48.1,315,26,8.3,16,0.55,13.8,https://fbref.com/en/players/420c18a1/Yann-Sommer
2018,Mainz 05,Bundesliga,René Adler,GER,GK,32,1985,14,18,1,0,5,0,18.5,0.36,0.5,0.03,84,218,38.5,296,40,48,40.7,90,84.4,61.3,130,9,6.9,12,0.86,15.9,https://fbref.com/en/players/f71890f5/Rene-Adler
2018,Mainz 05,Bundesliga,Florian Müller,GER,GK,19,1997,5,7,0,0,2,0,6.1,0.3,-0.9,-0.18,31,98,31.6,119,24,52.9,42,41,85.4,60.6,51,1,2,3,0.6,13.6,https://fbref.com/en/players/cbac6ec9/Florian-Muller
2018,Mainz 05,Bundesliga,Robin Zentner,GER,GK,22,1994,15,27,4,1,3,1,25.2,0.34,-0.8,-0.06,97,298,32.6,387,79,53,42.4,124,75,57.3,116,11,9.5,19,1.27,15.6,https://fbref.com/en/players/5c4bf6ba/Robin-Zentner
2018,RB Leipzig,Bundesliga,Péter Gulácsi,HUN,GK,27,1990,33,52,5,0,9,0,50.9,0.33,-1.1,-0.03,226,550,41.1,871,142,46.3,39.9,196,75,55.2,278,24,8.6,32,0.97,17.1,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi
2018,RB Leipzig,Bundesliga,Yvon Mvogo,SUI,GK,23,1994,1,1,0,0,0,0,1.2,0.29,0.2,0.16,7,14,50,32,5,31.3,29.9,4,100,70,6,0,0,4,4,21.7,https://fbref.com/en/players/dc29b608/Yvon-Mvogo
2018,Schalke 04,Bundesliga,Ralf Fährmann,GER,GK,28,1988,33.5,37,3,0,3,1,33.2,0.26,-2.8,-0.08,180,496,36.3,699,122,49.9,41.1,217,67.7,50.7,290,37,12.8,15,0.45,14.3,https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann
2018,Schalke 04,Bundesliga,Alexander Nübel,GER,GK,20,1996,0.5,0,0,0,0,0,0.4,0.19,0.4,0.75,6,13,46.2,13,3,38.5,42.2,9,88.9,53.6,5,0,0,0,0,12.5,https://fbref.com/en/players/afb0c500/Alexander-Nubel
2018,Stuttgart,Bundesliga,Ron-Robert Zieler,GER,GK,28,1989,34,36,4,2,2,0,42.8,0.27,6.8,0.2,299,880,34,1015,111,63.6,46.8,279,83.9,62.8,359,28,7.8,23,0.68,14.9,https://fbref.com/en/players/a0606ae8/Ron-Robert-Zieler
2018,Werder Bremen,Bundesliga,Jiří Pavlenka,CZE,GK,25,1992,34,40,2,0,6,2,44.1,0.26,6.1,0.18,250,613,40.8,901,175,50.9,42.4,244,63.1,51.7,282,18,6.4,14,0.41,13.3,https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka
2018,Wolfsburg,Bundesliga,Koen Casteels,BEL,GK,25,1992,34,48,6,1,5,2,51.3,0.31,5.3,0.16,269,704,38.2,1026,198,49.9,41.1,270,71.1,55.1,298,35,11.7,22,0.65,13.6,https://fbref.com/en/players/db401046/Koen-Casteels
2019,Augsburg,Bundesliga,Fabian Giefer,GER,GK,28,1990,4,7,0,0,1,0,5.5,0.31,-1.5,-0.36,28,63,44.4,85,15,55.3,44.1,24,66.7,54.7,38,0,0,0,0,10.3,https://fbref.com/en/players/fbefefdb/Fabian-Giefer
2019,Augsburg,Bundesliga,Gregor Kobel,SUI,GK,20,1997,15.4,42,1,1,9,1,31,0.35,-10,-0.65,83,235,35.3,408,72,41.2,37.2,116,57.8,49.8,143,14,9.8,16,1.04,14.7,https://fbref.com/en/players/cd59b9df/Gregor-Kobel
2019,Augsburg,Bundesliga,Andreas Luthe,GER,GK,31,1987,14.6,22,0,1,2,1,22.3,0.3,1.3,0.09,95,235,40.4,351,54,49.6,40.4,128,47.7,41.6,106,5,4.7,7,0.48,14.2,https://fbref.com/en/players/7fe12375/Andreas-Luthe
2019,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,32,1986,25.6,23,3,0,2,1,16.5,0.28,-5.5,-0.22,132,271,48.7,796,109,30.9,32.5,120,20.8,33.1,127,9,7.1,30,1.17,18.1,https://fbref.com/en/players/8778c910/Manuel-Neuer
2019,Bayern Munich,Bundesliga,Sven Ulreich,GER,GK,29,1988,8.4,9,2,1,1,0,7,0.3,-2,-0.24,26,62,41.9,218,56,25.2,29.5,36,19.4,33.3,33,0,0,8,0.95,17.4,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2019,Dortmund,Bundesliga,Roman Bürki,SUI,GK,27,1990,32,40,4,1,7,0,37.9,0.28,-2.1,-0.07,167,474,35.2,842,169,38.5,36.5,224,67,51.6,276,16,5.8,25,0.78,15.6,https://fbref.com/en/players/9d12e142/Roman-Burki
2019,Dortmund,Bundesliga,Marwin Hitz,SUI,GK,30,1987,2,4,0,0,1,0,2.9,0.58,-1.1,-0.56,7,20,35,52,6,26.9,31.8,13,46.2,45.9,22,2,9.1,1,0.5,14,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2019,Düsseldorf,Bundesliga,Jaroslav Drobný,CZE,GK,38,1979,2,3,0,0,0,0,2.9,0.33,-0.1,-0.03,12,22,54.5,27,5,66.7,44.7,10,40,40.3,8,0,0,1,0.5,15.2,https://fbref.com/en/players/e4a30d8c/Jaroslav-Drobny
2019,Düsseldorf,Bundesliga,Michael Rensing,GER,GK,34,1984,32,62,7,1,8,0,54.2,0.31,-7.8,-0.24,244,600,40.7,688,145,47.8,40.7,320,84.7,60.2,336,27,8,4,0.13,12.7,https://fbref.com/en/players/c476b0c0/Michael-Rensing
