Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,Url
2018,Augsburg,Bundesliga,Simon Asta,GER,MF,16,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,https://fbref.com/en/players/dfc85b89/Simon-Asta
2018,Augsburg,Bundesliga,Daniel Baier,GER,MF,33,1984,28.2,6,0,0,58,64,0,18,42,46,0,0,0,519,28,38,42.4,https://fbref.com/en/players/f261abcb/Daniel-Baier
2018,Augsburg,Bundesliga,Caiuby,BRA,"FW,MF",29,1988,31.7,8,0,0,75,57,7,52,15,24,0,0,0,257,140,116,54.7,https://fbref.com/en/players/c6637acf/Caiuby
2018,Augsburg,Bundesliga,Sergio Córdova,VEN,"FW,MF",19,1997,6.5,3,0,0,23,13,7,4,1,4,0,0,0,30,13,29,31,https://fbref.com/en/players/229cd98a/Sergio-Cordova
2018,Augsburg,Bundesliga,Kevin Danso,AUT,DF,18,1998,12.3,2,0,0,22,14,0,8,14,11,0,0,0,151,32,22,59.3,https://fbref.com/en/players/6e33125f/Kevin-Danso
2018,Augsburg,Bundesliga,Ji Dong-won,KOR,"FW,MF",26,1991,0.2,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,https://fbref.com/en/players/7d841904/Ji-Dong-won
2018,Augsburg,Bundesliga,Alfreð Finnbogason,ISL,FW,28,1989,20.2,2,0,0,34,19,12,12,12,9,1,0,0,83,16,53,23.2,https://fbref.com/en/players/f9e7c4ac/Alfred-Finnbogason
2018,Augsburg,Bundesliga,Raphael Framberger,GER,DF,21,1995,7.7,3,0,0,10,10,0,24,10,9,0,0,0,62,11,10,52.4,https://fbref.com/en/players/626fab5f/Raphael-Framberger
2018,Augsburg,Bundesliga,Jeffrey Gouweleeuw,NED,DF,26,1991,26.5,4,0,0,34,12,5,7,40,31,0,0,0,321,46,48,48.9,https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw
2018,Augsburg,Bundesliga,Michael Gregoritsch,AUT,"MF,FW",23,1994,28.1,3,0,0,24,37,11,12,12,15,2,0,0,180,80,92,46.5,https://fbref.com/en/players/8e235926/Michael-Gregoritsch
2018,Augsburg,Bundesliga,Marcel Heller,GER,"FW,MF",31,1986,14.4,1,1,0,17,16,11,53,10,24,1,0,0,98,6,12,33.3,https://fbref.com/en/players/11dbba47/Marcel-Heller
2018,Augsburg,Bundesliga,Martin Hinteregger,AUT,DF,24,1992,29.5,3,0,0,30,22,0,4,34,40,0,0,0,335,63,36,63.6,https://fbref.com/en/players/080440a4/Martin-Hinteregger
2018,Augsburg,Bundesliga,Marwin Hitz,SUI,GK,29,1987,32,2,0,0,2,5,0,0,0,0,0,1,0,176,0,0,NA,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2018,Augsburg,Bundesliga,Koo Ja-cheol,KOR,"MF,FW",28,1989,22.7,2,0,0,43,57,7,5,28,30,0,1,0,205,43,50,46.2,https://fbref.com/en/players/3c05e082/Koo-Ja-cheol
2018,Augsburg,Bundesliga,Kilian Jakob,GER,FW,19,1998,0.6,0,0,NA,0,0,NA,2,0,0,0,0,NA,5,2,1,66.7,https://fbref.com/en/players/99d6044d/Kilian-Jakob
2018,Augsburg,Bundesliga,Christoph Janker,GER,DF,32,1985,0.9,0,0,0,2,0,0,0,1,2,0,1,0,5,2,5,28.6,https://fbref.com/en/players/cf01fe3a/Christoph-Janker
2018,Augsburg,Bundesliga,Gojko Kačar,SRB,DF,30,1987,2.5,1,0,0,3,1,0,0,4,3,0,0,0,28,6,7,46.2,https://fbref.com/en/players/cc58c4ea/Gojko-Kacar
2018,Augsburg,Bundesliga,Rani Khedira,GER,"MF,DF",23,1994,25.3,8,0,0,56,35,1,6,25,31,0,0,0,300,63,48,56.8,https://fbref.com/en/players/59e4b92e/Rani-Khedira
2018,Augsburg,Bundesliga,Andreas Luthe,GER,GK,30,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,NA,https://fbref.com/en/players/7fe12375/Andreas-Luthe
