Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xA,A_minus_xA,KP,Final_Third,PPA,CrsPA,Prog,Url
2018,Augsburg,Bundesliga,Simon Asta,GER,MF,16,2001,0.1,5,7,71.4,103,38,1,1,100,3,4,75,1,1,100,0,0,0,0,0,0,0,0,https://fbref.com/en/players/dfc85b89/Simon-Asta
2018,Augsburg,Bundesliga,Daniel Baier,GER,MF,33,1984,28.2,1196,1607,74.4,25699,8015,382,468,81.6,560,708,79.1,238,386,61.7,2,2,0,26,165,26,5,192,https://fbref.com/en/players/f261abcb/Daniel-Baier
2018,Augsburg,Bundesliga,Caiuby,BRA,"FW,MF",29,1988,31.7,700,1046,66.9,12080,3650,363,492,73.8,240,359,66.9,81,136,59.6,7,3.7,3.3,30,68,34,18,84,https://fbref.com/en/players/c6637acf/Caiuby
2018,Augsburg,Bundesliga,Sergio Córdova,VEN,"FW,MF",19,1997,6.5,111,150,74,1560,300,71,88,80.7,32,42,76.2,6,13,46.2,1,0.9,0.1,9,9,4,1,9,https://fbref.com/en/players/229cd98a/Sergio-Cordova
2018,Augsburg,Bundesliga,Kevin Danso,AUT,DF,18,1998,12.3,364,523,69.6,8805,3072,98,116,84.5,159,197,80.7,106,201,52.7,0,0.4,-0.4,6,25,3,1,27,https://fbref.com/en/players/6e33125f/Kevin-Danso
2018,Augsburg,Bundesliga,Ji Dong-won,KOR,"FW,MF",26,1991,0.2,2,4,50,21,0,2,3,66.7,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/7d841904/Ji-Dong-won
2018,Augsburg,Bundesliga,Alfreð Finnbogason,ISL,FW,28,1989,20.2,310,432,71.8,5006,864,165,217,76,111,147,75.5,28,44,63.6,3,2.8,0.2,27,21,15,0,34,https://fbref.com/en/players/f9e7c4ac/Alfred-Finnbogason
2018,Augsburg,Bundesliga,Raphael Framberger,GER,DF,21,1995,7.7,259,370,70,4777,2645,109,132,82.6,110,146,75.3,33,69,47.8,0,1.4,-1.4,9,26,16,8,40,https://fbref.com/en/players/626fab5f/Raphael-Framberger
2018,Augsburg,Bundesliga,Jeffrey Gouweleeuw,NED,DF,26,1991,26.5,906,1169,77.5,21559,9706,236,281,84,429,485,88.5,230,377,61,0,0.4,-0.4,8,111,9,2,102,https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw
2018,Augsburg,Bundesliga,Michael Gregoritsch,AUT,"MF,FW",23,1994,28.1,547,798,68.5,9166,2348,301,391,77,167,245,68.2,64,109,58.7,3,2.1,0.9,20,63,11,3,73,https://fbref.com/en/players/8e235926/Michael-Gregoritsch
2018,Augsburg,Bundesliga,Marcel Heller,GER,"FW,MF",31,1986,14.4,190,347,54.8,2887,1166,105,139,75.5,65,113,57.5,14,53,26.4,1,1.8,-0.8,15,10,15,9,23,https://fbref.com/en/players/11dbba47/Marcel-Heller
2018,Augsburg,Bundesliga,Martin Hinteregger,AUT,DF,24,1992,29.5,1027,1332,77.1,24830,9797,210,249,84.3,554,616,89.9,257,445,57.8,0,0.3,-0.3,7,79,7,1,93,https://fbref.com/en/players/080440a4/Martin-Hinteregger
2018,Augsburg,Bundesliga,Marwin Hitz,SUI,GK,29,1987,32,780,1106,70.5,28361,17303,48,53,90.6,297,303,98,432,747,57.8,0,0,0,1,8,0,0,0,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2018,Augsburg,Bundesliga,Koo Ja-cheol,KOR,"MF,FW",28,1989,22.7,632,789,80.1,9708,2304,368,427,86.2,193,229,84.3,49,79,62,0,1.1,-1.1,12,58,7,0,57,https://fbref.com/en/players/3c05e082/Koo-Ja-cheol
2018,Augsburg,Bundesliga,Kilian Jakob,GER,FW,19,1998,0.6,4,12,33.3,68,37,2,5,40,2,3,66.7,0,2,0,0,0,0,0,0,1,0,2,https://fbref.com/en/players/99d6044d/Kilian-Jakob
2018,Augsburg,Bundesliga,Christoph Janker,GER,DF,32,1985,0.9,7,12,58.3,153,70,1,1,100,6,7,85.7,0,2,0,0,0,0,0,1,0,0,1,https://fbref.com/en/players/cf01fe3a/Christoph-Janker
2018,Augsburg,Bundesliga,Gojko Kačar,SRB,DF,30,1987,2.5,59,80,73.8,1255,411,15,19,78.9,35,43,81.4,9,17,52.9,0,0,0,0,1,0,0,2,https://fbref.com/en/players/cc58c4ea/Gojko-Kacar
2018,Augsburg,Bundesliga,Rani Khedira,GER,"MF,DF",23,1994,25.3,645,859,75.1,12937,3855,215,278,77.3,327,396,82.6,94,157,59.9,1,0.8,0.2,9,42,10,3,59,https://fbref.com/en/players/59e4b92e/Rani-Khedira
2018,Augsburg,Bundesliga,Andreas Luthe,GER,GK,30,1987,2,64,80,80,1963,1008,5,5,100,31,31,100,27,43,62.8,0,0,0,0,0,0,0,0,https://fbref.com/en/players/7fe12375/Andreas-Luthe
2018,Augsburg,Bundesliga,Philipp Max,GER,DF,23,1993,32.9,1127,1712,65.8,24330,11757,398,471,84.5,477,638,74.8,241,557,43.3,12,8.8,3.2,83,78,60,41,126,https://fbref.com/en/players/826e8b63/Philipp-Max
2018,Augsburg,Bundesliga,Jan Morávek,CZE,MF,27,1989,7.8,261,334,78.1,4288,1245,137,159,86.2,102,126,81,18,38,47.4,0,0.2,-0.2,6,23,7,0,29,https://fbref.com/en/players/e7d22eae/Jan-Moravek
2018,Augsburg,Bundesliga,Daniel Opare,GHA,"DF,MF",26,1990,15.7,367,612,60,8153,4256,110,137,80.3,167,244,68.4,86,212,40.6,0,0.6,-0.6,6,35,14,7,61,https://fbref.com/en/players/49d53c68/Daniel-Opare
2018,Augsburg,Bundesliga,Shawn Parker,GER,"DF,MF",24,1993,0.5,6,9,66.7,122,30,2,4,50,4,5,80,0,0,NA,0,0,0,1,0,1,0,1,https://fbref.com/en/players/b9ebc83e/Shawn-Parker
2018,Augsburg,Bundesliga,Marco Richter,GER,"FW,MF",19,1997,7.2,110,158,69.6,2051,565,50,66,75.8,40,55,72.7,18,30,60,0,1.1,-1.1,8,7,11,5,14,https://fbref.com/en/players/f972644c/Marco-Richter
2018,Augsburg,Bundesliga,Jonathan Schmid,FRA,"DF,FW",27,1990,16.4,445,622,71.5,8283,3875,206,253,81.4,153,197,77.7,78,147,53.1,0,2,-2,25,24,8,2,37,https://fbref.com/en/players/088ca1bd/Jonathan-Schmid
