Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Press_Pass,Sw_Pass,Crs_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Ground_Height,Low_Height,High_Height,Left_Body,Right_Body,Head_Body,TI_Body,Other_Body,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Url
2018,Augsburg,Bundesliga,Simon Asta,GER,MF,16,2001,0.1,7,6,1,0,0,2,0,0,0,0,0,0,5,1,1,1,5,0,1,0,5,0,0,0,1,https://fbref.com/en/players/dfc85b89/Simon-Asta
2018,Augsburg,Bundesliga,Daniel Baier,GER,MF,33,1984,28.2,1607,1513,94,71,4,234,44,18,1,1,0,0,801,313,493,111,1313,133,21,10,1196,12,39,23,32,https://fbref.com/en/players/f261abcb/Daniel-Baier
2018,Augsburg,Bundesliga,Caiuby,BRA,"FW,MF",29,1988,31.7,1046,1021,25,3,1,337,30,52,0,0,0,0,499,269,278,508,301,101,19,15,700,3,27,17,65,https://fbref.com/en/players/c6637acf/Caiuby
2018,Augsburg,Bundesliga,Sergio Córdova,VEN,"FW,MF",19,1997,6.5,150,144,6,0,0,44,3,4,0,0,0,0,92,39,19,17,107,12,2,4,111,1,4,2,5,https://fbref.com/en/players/229cd98a/Sergio-Cordova
2018,Augsburg,Bundesliga,Kevin Danso,AUT,DF,18,1998,12.3,523,459,64,20,0,90,26,8,0,0,0,0,287,53,183,19,407,39,44,1,364,1,11,8,12,https://fbref.com/en/players/6e33125f/Kevin-Danso
2018,Augsburg,Bundesliga,Ji Dong-won,KOR,"FW,MF",26,1991,0.2,4,4,0,0,0,2,0,0,0,0,0,0,0,1,3,0,4,0,0,0,2,0,0,0,1,https://fbref.com/en/players/7d841904/Ji-Dong-won
2018,Augsburg,Bundesliga,Alfreð Finnbogason,ISL,FW,28,1989,20.2,432,385,47,1,0,87,6,12,2,0,0,0,269,102,61,72,288,48,6,11,310,3,6,12,19,https://fbref.com/en/players/f9e7c4ac/Alfred-Finnbogason
2018,Augsburg,Bundesliga,Raphael Framberger,GER,DF,21,1995,7.7,370,274,96,2,1,61,7,24,0,0,0,0,159,118,93,22,239,9,94,0,259,0,9,14,17,https://fbref.com/en/players/626fab5f/Raphael-Framberger
2018,Augsburg,Bundesliga,Jeffrey Gouweleeuw,NED,DF,26,1991,26.5,1169,1123,46,43,0,156,41,7,0,0,0,0,668,147,354,132,923,87,3,3,906,5,33,9,16,https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw
2018,Augsburg,Bundesliga,Michael Gregoritsch,AUT,"MF,FW",23,1994,28.1,798,758,40,7,1,203,23,12,2,1,0,0,417,190,191,471,159,87,8,13,547,6,22,19,36,https://fbref.com/en/players/8e235926/Michael-Gregoritsch
2018,Augsburg,Bundesliga,Marcel Heller,GER,"FW,MF",31,1986,14.4,347,342,5,1,0,86,13,53,0,0,0,0,171,74,102,38,271,30,3,1,190,0,15,8,46,https://fbref.com/en/players/11dbba47/Marcel-Heller
2018,Augsburg,Bundesliga,Martin Hinteregger,AUT,DF,24,1992,29.5,1332,1269,63,52,3,201,53,4,0,0,0,0,806,176,350,998,205,79,11,4,1027,8,40,16,24,https://fbref.com/en/players/080440a4/Martin-Hinteregger
2018,Augsburg,Bundesliga,Marwin Hitz,SUI,GK,29,1987,32,1106,772,334,88,0,93,25,0,0,0,0,0,474,60,572,121,780,1,0,138,780,3,25,2,3,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2018,Augsburg,Bundesliga,Koo Ja-cheol,KOR,"MF,FW",28,1989,22.7,789,779,10,5,0,188,27,5,0,0,0,0,489,174,126,120,560,65,1,14,632,4,16,19,25,https://fbref.com/en/players/3c05e082/Koo-Ja-cheol
2018,Augsburg,Bundesliga,Kilian Jakob,GER,FW,19,1998,0.6,12,11,1,0,0,4,0,2,1,1,0,0,4,1,7,10,0,0,0,0,4,0,0,1,4,https://fbref.com/en/players/99d6044d/Kilian-Jakob
2018,Augsburg,Bundesliga,Christoph Janker,GER,DF,32,1985,0.9,12,10,2,0,0,4,0,0,0,0,0,0,4,1,7,3,5,2,2,0,7,0,1,0,1,https://fbref.com/en/players/cf01fe3a/Christoph-Janker
2018,Augsburg,Bundesliga,Gojko Kačar,SRB,DF,30,1987,2.5,80,74,6,6,0,9,2,0,0,0,0,0,49,12,19,11,58,6,0,1,59,0,0,1,1,https://fbref.com/en/players/cc58c4ea/Gojko-Kacar
2018,Augsburg,Bundesliga,Rani Khedira,GER,"MF,DF",23,1994,25.3,859,837,22,19,0,163,22,6,0,0,0,0,485,152,222,101,616,91,2,9,645,1,22,10,19,https://fbref.com/en/players/59e4b92e/Rani-Khedira
2018,Augsburg,Bundesliga,Andreas Luthe,GER,GK,30,1987,2,80,63,17,3,0,9,1,0,0,0,0,0,41,10,29,7,58,0,0,12,64,0,1,0,0,https://fbref.com/en/players/7fe12375/Andreas-Luthe
2018,Augsburg,Bundesliga,Philipp Max,GER,DF,23,1993,32.9,1712,1204,508,75,0,240,111,156,113,28,31,10,611,388,713,1164,154,55,320,8,1127,11,41,32,60,https://fbref.com/en/players/826e8b63/Philipp-Max
2018,Augsburg,Bundesliga,Jan Morávek,CZE,MF,27,1989,7.8,334,333,1,1,0,77,8,2,0,0,0,0,177,90,67,50,236,31,0,3,261,0,4,8,6,https://fbref.com/en/players/e7d22eae/Jan-Moravek
2018,Augsburg,Bundesliga,Daniel Opare,GHA,"DF,MF",26,1990,15.7,612,460,152,5,0,89,22,34,0,0,0,0,211,120,281,50,362,39,147,1,367,2,20,11,25,https://fbref.com/en/players/49d53c68/Daniel-Opare
2018,Augsburg,Bundesliga,Shawn Parker,GER,"DF,MF",24,1993,0.5,9,9,0,0,0,3,0,0,0,0,0,0,8,1,0,1,7,1,0,0,6,0,0,1,0,https://fbref.com/en/players/b9ebc83e/Shawn-Parker
2018,Augsburg,Bundesliga,Marco Richter,GER,"FW,MF",19,1997,7.2,158,157,1,0,2,45,5,10,0,0,0,0,77,49,32,38,108,5,0,2,110,0,2,7,3,https://fbref.com/en/players/f972644c/Marco-Richter
2018,Augsburg,Bundesliga,Jonathan Schmid,FRA,"DF,FW",27,1990,16.4,622,451,171,16,0,92,34,33,52,12,20,3,268,156,198,73,398,35,103,2,445,3,10,11,22,https://fbref.com/en/players/088ca1bd/Jonathan-Schmid
2018,Augsburg,Bundesliga,Kostas Stafylidis,GRE,DF,23,1993,0.4,9,5,4,0,0,2,1,0,0,0,0,0,3,2,4,5,0,0,4,0,4,0,0,0,0,https://fbref.com/en/players/861e0116/Kostas-Stafylidis
2018,Augsburg,Bundesliga,Erik Thommy,GER,FW,22,1994,1.9,72,66,6,3,1,12,4,14,3,2,1,0,45,9,18,18,52,2,0,0,51,0,4,0,1,https://fbref.com/en/players/df8e7b62/Erik-Thommy
2018,Bayern Munich,Bundesliga,David Alaba,AUT,DF,25,1992,17.2,1320,1160,160,7,2,203,21,72,6,0,3,3,905,229,186,999,128,33,147,1,1120,1,10,21,43,https://fbref.com/en/players/05439de2/David-Alaba
2018,Bayern Munich,Bundesliga,Thiago Alcántara,ESP,"MF,FW",26,1991,13.9,1309,1271,38,21,3,174,64,12,8,5,1,1,963,169,177,95,1162,25,7,5,1190,3,17,14,7,https://fbref.com/en/players/77e84962/Thiago-Alcantara
2018,Bayern Munich,Bundesliga,Juan Bernat,ESP,"DF,FW",24,1993,9.9,541,495,46,5,0,94,5,18,0,0,0,0,411,80,50,454,31,7,41,1,490,0,4,4,11,https://fbref.com/en/players/433dc9a2/Juan-Bernat
2018,Bayern Munich,Bundesliga,Jérôme Boateng,GER,DF,28,1988,18.2,1428,1384,44,39,6,185,63,13,1,0,0,0,981,175,272,386,972,53,4,4,1231,11,22,10,9,https://fbref.com/en/players/2db2fd7b/Jerome-Boateng
2018,Bayern Munich,Bundesliga,Kingsley Coman,FRA,"FW,MF",21,1996,12.8,607,601,6,0,1,157,17,63,0,0,0,0,439,68,100,110,458,21,5,2,484,1,12,2,15,https://fbref.com/en/players/042e8a49/Kingsley-Coman
2018,Bayern Munich,Bundesliga,Niklas Dorsch,GER,MF,19,1998,1,37,36,1,0,0,5,0,0,0,0,0,0,31,4,2,2,33,1,1,0,30,0,0,2,1,https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch
2018,Bayern Munich,Bundesliga,Franck Evina,CMR,FW,17,2000,1.2,30,30,0,0,0,8,0,4,0,0,0,0,22,4,4,2,24,2,0,0,24,0,1,0,0,https://fbref.com/en/players/44e471ca/Franck-Evina
2018,Bayern Munich,Bundesliga,Marco Friedl,AUT,DF,19,1998,0.5,52,47,5,1,0,1,1,4,0,0,0,0,37,7,8,40,8,0,4,0,45,0,0,0,2,https://fbref.com/en/players/f86ad3f5/Marco-Friedl
2018,Bayern Munich,Bundesliga,Mats Hummels,GER,DF,28,1988,24.6,1979,1941,38,35,3,276,58,3,0,0,0,0,1483,212,284,627,1193,110,3,10,1746,4,35,22,16,https://fbref.com/en/players/05d548d8/Mats-Hummels
2018,Bayern Munich,Bundesliga,Joshua Kimmich,GER,DF,22,1995,25.9,2143,1872,271,45,7,310,91,107,67,4,15,7,1395,296,452,340,1561,70,159,3,1794,5,21,24,40,https://fbref.com/en/players/49296448/Joshua-Kimmich
2018,Bayern Munich,Bundesliga,Robert Lewandowski,POL,FW,28,1988,24.1,613,599,14,3,3,136,8,12,0,0,0,0,454,100,59,72,480,29,0,11,480,3,8,15,27,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
2018,Bayern Munich,Bundesliga,Lars Lukas Mai,GER,DF,17,2000,2,114,113,1,0,0,24,2,0,0,0,0,0,97,8,9,20,85,4,1,1,101,0,5,1,0,https://fbref.com/en/players/95173427/Lars-Lukas-Mai
