Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,Url
2018,Augsburg,Bundesliga,Simon Asta,GER,MF,16,2001,1,11,11,0.4,0.1,0,NA,0,1,NA,3,0,0,0,0,0,0.09,0,0,0,0,-0.06,https://fbref.com/en/players/dfc85b89/Simon-Asta
2018,Augsburg,Bundesliga,Daniel Baier,GER,MF,33,1984,29,2538,88,82.9,28.2,29,NA,23,0,NA,1,1.17,38,43,-5,-0.18,-0.52,39.2,37.5,1.6,0.06,0.01,https://fbref.com/en/players/f261abcb/Daniel-Baier
2018,Augsburg,Bundesliga,Efkan Bekiroglu,TUR,MF,21,1995,0,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/6233f5f9/Efkan-Bekiroglu
2018,Augsburg,Bundesliga,Caiuby,BRA,"FW,MF",29,1988,33,2855,87,93.3,31.7,32,NA,28,1,NA,0,1.24,42,44,-2,-0.06,0.38,42.7,39.4,3.3,0.11,0.73,https://fbref.com/en/players/c6637acf/Caiuby
2018,Augsburg,Bundesliga,Jan-Ingwer Callsen-Bracker,GER,DF,32,1984,0,NA,NA,NA,NA,0,NA,0,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/0999a593/Jan-Ingwer-Callsen-Bracker
2018,Augsburg,Bundesliga,Sergio Córdova,VEN,"FW,MF",19,1997,26,586,23,19.2,6.5,3,NA,0,23,NA,2,1.12,9,10,-1,-0.15,-0.08,8.9,10.7,-1.8,-0.28,-0.42,https://fbref.com/en/players/229cd98a/Sergio-Cordova
2018,Augsburg,Bundesliga,Kevin Danso,AUT,DF,18,1998,16,1105,69,36.1,12.3,13,NA,8,3,NA,8,1,12,20,-8,-0.65,-0.88,15.2,15.9,-0.8,-0.06,-0.18,https://fbref.com/en/players/6e33125f/Kevin-Danso
2018,Augsburg,Bundesliga,Ji Dong-won,KOR,"FW,MF",26,1991,3,19,6,0.6,0.2,0,NA,0,3,NA,5,1.33,0,0,0,0,0.09,0,0.2,-0.2,-0.68,-0.74,https://fbref.com/en/players/7d841904/Ji-Dong-won
2018,Augsburg,Bundesliga,Alfreð Finnbogason,ISL,FW,28,1989,22,1814,82,59.3,20.2,22,NA,10,0,NA,1,1.27,29,23,6,0.3,0.95,29,22.3,6.7,0.33,0.68,https://fbref.com/en/players/f9e7c4ac/Alfred-Finnbogason
2018,Augsburg,Bundesliga,Raphael Framberger,GER,DF,21,1995,9,696,77,22.7,7.7,7,NA,5,2,NA,5,0.78,8,11,-3,-0.39,-0.39,11,9.6,1.4,0.18,0.16,https://fbref.com/en/players/626fab5f/Raphael-Framberger
