Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,Url
2018,Augsburg,Bundesliga,Simon Asta,GER,MF,16,2001,0.1,9,0,4,3,3,0,8,0,0,NA,0,0,5,20,8,0,0,0,0,0,7,5,71.4,1,https://fbref.com/en/players/dfc85b89/Simon-Asta
2018,Augsburg,Bundesliga,Daniel Baier,GER,MF,33,1984,28.2,1930,40,493,1242,313,13,1848,24,38,63.2,28,2,1175,5981,2992,97,29,2,29,23,1140,1079,94.6,53,https://fbref.com/en/players/f261abcb/Daniel-Baier
2018,Augsburg,Bundesliga,Caiuby,BRA,"FW,MF",29,1988,31.7,1490,38,211,793,594,99,1468,45,72,62.5,50,3,941,5334,2787,140,49,12,73,57,1398,1005,71.9,240,https://fbref.com/en/players/c6637acf/Caiuby
2018,Augsburg,Bundesliga,Sergio Córdova,VEN,"FW,MF",19,1997,6.5,252,6,21,121,133,29,246,8,15,53.3,10,0,188,989,531,25,12,6,25,17,327,186,56.9,70,https://fbref.com/en/players/229cd98a/Sergio-Cordova
2018,Augsburg,Bundesliga,Kevin Danso,AUT,DF,18,1998,12.3,699,75,397,283,61,11,639,9,13,69.2,11,0,373,2353,1267,23,1,0,5,5,341,329,96.5,11,https://fbref.com/en/players/6e33125f/Kevin-Danso
2018,Augsburg,Bundesliga,Ji Dong-won,KOR,"FW,MF",26,1991,0.2,5,1,3,1,1,0,5,0,0,NA,0,0,3,18,6,1,0,0,0,0,6,1,16.7,0,https://fbref.com/en/players/7d841904/Ji-Dong-won
2018,Augsburg,Bundesliga,Alfreð Finnbogason,ISL,FW,28,1989,20.2,707,11,44,327,382,130,660,21,46,45.7,27,4,471,1854,916,56,17,12,78,39,856,492,57.5,231,https://fbref.com/en/players/f9e7c4ac/Alfred-Finnbogason
2018,Augsburg,Bundesliga,Raphael Framberger,GER,DF,21,1995,7.7,446,16,109,189,174,7,350,8,10,80,10,0,242,1265,684,41,11,3,9,10,255,226,88.6,17,https://fbref.com/en/players/626fab5f/Raphael-Framberger
2018,Augsburg,Bundesliga,Jeffrey Gouweleeuw,NED,DF,26,1991,26.5,1466,144,779,689,82,26,1420,12,15,80,13,0,870,5318,2658,66,13,2,11,12,831,805,96.9,20,https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw
2018,Augsburg,Bundesliga,Michael Gregoritsch,AUT,"MF,FW",23,1994,28.1,1144,56,149,609,453,123,1096,20,38,52.6,22,0,645,2897,1442,70,29,12,46,47,1164,776,66.7,222,https://fbref.com/en/players/8e235926/Michael-Gregoritsch
2018,Augsburg,Bundesliga,Marcel Heller,GER,"FW,MF",31,1986,14.4,506,8,84,190,278,48,501,9,20,45,10,1,354,2578,1561,61,22,15,36,24,510,325,63.7,119,https://fbref.com/en/players/11dbba47/Marcel-Heller
2018,Augsburg,Bundesliga,Martin Hinteregger,AUT,DF,24,1992,29.5,1663,201,1009,702,82,29,1611,4,5,80,4,0,954,6262,3237,50,15,0,9,9,967,945,97.7,31,https://fbref.com/en/players/080440a4/Martin-Hinteregger
2018,Augsburg,Bundesliga,Marwin Hitz,SUI,GK,29,1987,32,1195,1050,1187,12,2,1,863,0,0,NA,0,0,614,3666,2026,0,0,0,0,0,511,509,99.6,1,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2018,Augsburg,Bundesliga,Koo Ja-cheol,KOR,"MF,FW",28,1989,22.7,1066,35,191,650,301,43,1060,24,36,66.7,27,0,701,2996,1313,64,23,2,37,36,864,695,80.4,126,https://fbref.com/en/players/3c05e082/Koo-Ja-cheol
2018,Augsburg,Bundesliga,Kilian Jakob,GER,FW,19,1998,0.6,17,0,0,5,12,2,16,0,0,NA,0,0,12,45,31,3,0,0,1,2,14,10,71.4,2,https://fbref.com/en/players/99d6044d/Kilian-Jakob
2018,Augsburg,Bundesliga,Christoph Janker,GER,DF,32,1985,0.9,23,5,11,7,5,0,21,0,0,NA,0,0,6,41,25,1,0,0,0,0,5,4,80,0,https://fbref.com/en/players/cf01fe3a/Christoph-Janker
2018,Augsburg,Bundesliga,Gojko Kačar,SRB,DF,30,1987,2.5,106,12,57,51,7,3,100,0,0,NA,0,0,46,277,180,2,2,0,1,1,46,46,100,1,https://fbref.com/en/players/cc58c4ea/Gojko-Kacar
2018,Augsburg,Bundesliga,Rani Khedira,GER,"MF,DF",23,1994,25.3,1147,128,473,560,169,32,1128,7,7,100,7,0,575,2816,1253,28,10,4,11,17,645,558,86.5,54,https://fbref.com/en/players/59e4b92e/Rani-Khedira
2018,Augsburg,Bundesliga,Andreas Luthe,GER,GK,30,1987,2,87,80,87,1,0,0,70,0,0,NA,0,0,53,260,113,0,0,0,0,0,44,44,100,0,https://fbref.com/en/players/7fe12375/Andreas-Luthe
2018,Augsburg,Bundesliga,Philipp Max,GER,DF,23,1993,32.9,1959,72,508,868,697,23,1453,11,17,64.7,11,0,973,5117,2764,128,46,4,21,13,1116,947,84.9,88,https://fbref.com/en/players/826e8b63/Philipp-Max
2018,Augsburg,Bundesliga,Jan Morávek,CZE,MF,27,1989,7.8,438,10,97,266,91,9,437,6,9,66.7,6,0,231,902,437,25,6,1,10,7,283,247,87.3,31,https://fbref.com/en/players/e7d22eae/Jan-Moravek
2018,Augsburg,Bundesliga,Daniel Opare,GHA,"DF,MF",26,1990,15.7,786,57,276,366,201,6,638,25,41,61,26,1,405,2377,1361,51,25,4,13,17,365,320,87.7,15,https://fbref.com/en/players/49d53c68/Daniel-Opare
2018,Augsburg,Bundesliga,Shawn Parker,GER,"DF,MF",24,1993,0.5,19,0,2,8,9,1,19,0,0,NA,0,0,12,6,4,0,0,0,2,3,19,12,63.2,3,https://fbref.com/en/players/b9ebc83e/Shawn-Parker
2018,Augsburg,Bundesliga,Marco Richter,GER,"FW,MF",19,1997,7.2,261,7,50,117,113,14,260,8,14,57.1,9,3,185,887,417,24,8,3,23,14,255,170,66.7,58,https://fbref.com/en/players/f972644c/Marco-Richter
2018,Augsburg,Bundesliga,Jonathan Schmid,FRA,"DF,FW",27,1990,16.4,796,31,195,321,331,36,629,10,22,45.5,11,2,405,1964,967,46,20,3,15,14,470,379,80.6,59,https://fbref.com/en/players/088ca1bd/Jonathan-Schmid
2018,Augsburg,Bundesliga,Kostas Stafylidis,GRE,DF,23,1993,0.4,16,1,8,7,1,0,12,0,0,NA,0,0,7,18,6,0,0,0,1,0,2,2,100,0,https://fbref.com/en/players/861e0116/Kostas-Stafylidis
2018,Augsburg,Bundesliga,Erik Thommy,GER,FW,22,1994,1.9,99,1,7,38,62,8,93,0,1,0,0,0,72,344,179,9,5,2,4,1,81,62,76.5,26,https://fbref.com/en/players/df8e7b62/Erik-Thommy
2018,Bayern Munich,Bundesliga,David Alaba,AUT,DF,25,1992,17.2,1477,47,297,696,568,40,1310,17,26,65.4,18,1,1065,4974,2563,116,43,6,13,17,1111,1034,93.1,86,https://fbref.com/en/players/05439de2/David-Alaba
2018,Bayern Munich,Bundesliga,Thiago Alcántara,ESP,"MF,FW",26,1991,13.9,1455,16,194,919,434,40,1421,26,35,74.3,28,1,1218,5190,2641,143,40,7,9,23,1245,1181,94.9,99,https://fbref.com/en/players/77e84962/Thiago-Alcantara
2018,Bayern Munich,Bundesliga,Juan Bernat,ESP,"DF,FW",24,1993,9.9,661,12,118,328,262,37,617,17,31,54.8,17,0,529,2446,1237,63,9,9,21,20,557,490,88,48,https://fbref.com/en/players/433dc9a2/Juan-Bernat
2018,Bayern Munich,Bundesliga,Jérôme Boateng,GER,DF,28,1988,18.2,1596,130,672,951,110,15,1555,3,4,75,4,0,1172,6355,3441,125,36,2,1,2,1176,1168,99.3,7,https://fbref.com/en/players/2db2fd7b/Jerome-Boateng
2018,Bayern Munich,Bundesliga,Kingsley Coman,FRA,"FW,MF",21,1996,12.8,789,3,61,319,485,98,783,56,76,73.7,59,1,727,4435,2813,165,34,32,39,37,791,644,81.4,139,https://fbref.com/en/players/042e8a49/Kingsley-Coman
2018,Bayern Munich,Bundesliga,Niklas Dorsch,GER,MF,19,1998,1,45,0,6,31,10,1,44,2,3,66.7,2,0,37,137,79,5,2,0,0,3,40,35,87.5,6,https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch
2018,Bayern Munich,Bundesliga,Franck Evina,CMR,FW,17,2000,1.2,55,0,11,22,27,8,55,2,3,66.7,2,1,35,103,52,2,1,0,4,8,53,40,75.5,14,https://fbref.com/en/players/44e471ca/Franck-Evina
2018,Bayern Munich,Bundesliga,Marco Friedl,AUT,DF,19,1998,0.5,60,1,5,43,19,0,55,0,0,NA,0,0,44,164,121,5,6,0,0,2,44,42,95.5,4,https://fbref.com/en/players/f86ad3f5/Marco-Friedl
2018,Bayern Munich,Bundesliga,Mats Hummels,GER,DF,28,1988,24.6,2248,178,898,1368,138,38,2214,8,11,72.7,9,0,1628,9159,5777,211,29,2,9,8,1611,1578,98,31,https://fbref.com/en/players/05d548d8/Mats-Hummels
2018,Bayern Munich,Bundesliga,Joshua Kimmich,GER,DF,22,1995,25.9,2355,80,531,1183,809,59,2099,25,42,59.5,26,2,1746,9521,4734,215,83,9,19,17,1781,1684,94.6,98,https://fbref.com/en/players/49296448/Joshua-Kimmich
2018,Bayern Munich,Bundesliga,Robert Lewandowski,POL,FW,28,1988,24.1,926,11,27,363,603,224,905,30,51,58.8,33,2,734,3230,1486,93,34,22,61,44,1241,783,63.1,303,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
2018,Bayern Munich,Bundesliga,Lars Lukas Mai,GER,DF,17,2000,2,124,13,77,53,0,0,123,0,0,NA,0,0,83,417,218,4,0,0,0,0,90,89,98.9,0,https://fbref.com/en/players/95173427/Lars-Lukas-Mai
2018,Bayern Munich,Bundesliga,Javi Martínez,ESP,"MF,DF",28,1988,17.9,1363,60,302,959,178,30,1350,5,7,71.4,5,0,897,3733,1786,64,19,0,11,12,986,943,95.6,41,https://fbref.com/en/players/7f97771d/Javi-Martinez
2018,Bayern Munich,Bundesliga,Thomas Müller,GER,"FW,MF",27,1989,22.3,1232,19,109,516,659,157,1204,15,23,65.2,16,1,877,2842,1611,98,30,10,53,32,1309,993,75.9,303,https://fbref.com/en/players/3c6089ab/Thomas-Muller
2018,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,31,1986,3,90,67,88,1,1,1,80,0,0,NA,0,0,61,261,117,0,0,0,0,0,55,55,100,0,https://fbref.com/en/players/8778c910/Manuel-Neuer
2018,Bayern Munich,Bundesliga,Kwasi Okyere Wriedt,GHA,MF,23,1994,0.3,9,0,2,3,5,3,9,0,0,NA,0,0,4,49,16,1,1,1,0,0,14,4,28.6,4,https://fbref.com/en/players/7124239e/Kwasi-Okyere-Wriedt
2018,Bayern Munich,Bundesliga,Rafinha,BRA,DF,31,1985,20.6,1947,63,460,1050,558,20,1779,12,17,70.6,13,1,1439,6234,3405,132,52,3,11,9,1449,1396,96.3,50,https://fbref.com/en/players/d003e213/Rafinha
2018,Bayern Munich,Bundesliga,Franck Ribéry,FRA,"FW,MF",34,1983,13.4,1017,7,75,530,500,81,984,28,53,52.8,30,3,864,5023,3017,152,52,26,34,41,939,834,88.8,128,https://fbref.com/en/players/f61c7c4e/Franck-Ribery
2018,Bayern Munich,Bundesliga,Arjen Robben,NED,"FW,MF",33,1984,16.7,1065,2,44,431,698,86,966,29,51,56.9,32,2,831,5980,3810,224,67,35,42,28,1007,819,81.3,148,https://fbref.com/en/players/09586899/Arjen-Robben
2018,Bayern Munich,Bundesliga,James Rodríguez,COL,MF,26,1991,18,1812,18,221,1007,681,61,1672,32,45,71.1,33,0,1449,6863,3523,185,35,5,27,29,1537,1399,91,140,https://fbref.com/en/players/715bf047/James-Rodriguez
2018,Bayern Munich,Bundesliga,Sebastian Rudy,GER,MF,27,1990,16.8,1217,19,190,779,308,16,1168,11,13,84.6,11,0,895,3809,1767,77,24,3,21,13,937,880,93.9,40,https://fbref.com/en/players/80f36c88/Sebastian-Rudy
2018,Bayern Munich,Bundesliga,Meritan Shabani,ALB,FW,18,1999,0.6,24,0,8,10,6,0,24,3,4,75,4,0,17,37,22,1,0,0,3,1,27,16,59.3,1,https://fbref.com/en/players/012c38ec/Meritan-Shabani
2018,Bayern Munich,Bundesliga,Tom Starke,GER,GK,36,1981,2,59,50,58,1,0,0,49,0,0,NA,0,0,33,112,46,0,0,0,0,0,31,31,100,0,https://fbref.com/en/players/5b52d1f7/Tom-Starke
2018,Bayern Munich,Bundesliga,Niklas Süle,GER,DF,21,1995,21.4,1795,164,725,1052,131,25,1762,2,4,50,2,0,1323,6985,3389,138,25,1,3,3,1345,1327,98.7,24,https://fbref.com/en/players/e33c06cf/Niklas-Sule
2018,Bayern Munich,Bundesliga,Corentin Tolisso,FRA,MF,22,1994,17.5,1444,22,161,989,390,48,1427,6,15,40,6,0,1179,5530,2706,125,46,4,16,14,1258,1167,92.8,67,https://fbref.com/en/players/652d4c37/Corentin-Tolisso
2018,Bayern Munich,Bundesliga,Sven Ulreich,GER,GK,28,1988,29,985,862,980,6,0,0,818,0,0,NA,0,0,627,2503,1164,0,0,0,0,0,576,576,100,0,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2018,Bayern Munich,Bundesliga,Arturo Vidal,CHI,MF,30,1987,16.2,1401,51,301,821,343,58,1371,10,10,100,10,0,1005,3638,1822,76,27,2,14,11,1084,984,90.8,103,https://fbref.com/en/players/67cdbc0e/Arturo-Vidal
2018,Bayern Munich,Bundesliga,Sandro Wagner,GER,FW,29,1987,8.1,309,2,24,148,150,48,295,3,5,60,3,0,197,650,161,8,2,2,21,14,385,249,64.7,90,https://fbref.com/en/players/61b0b44d/Sandro-Wagner
2018,Dortmund,Bundesliga,Manuel Akanji,SUI,DF,22,1995,10,720,56,312,422,65,10,688,6,7,85.7,6,0,477,3474,2034,57,20,0,5,3,486,477,98.1,7,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
2018,Dortmund,Bundesliga,Pierre-Emerick Aubameyang,GAB,FW,28,1989,15.7,496,1,9,211,297,104,457,5,15,33.3,7,0,314,1325,636,46,9,18,32,17,762,365,47.9,163,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2018,Dortmund,Bundesliga,Marc Bartra,ESP,DF,26,1991,9,818,40,285,503,69,13,758,4,7,57.1,4,0,514,2663,1798,71,13,3,9,6,509,490,96.3,11,https://fbref.com/en/players/b742cc0d/Marc-Bartra
2018,Dortmund,Bundesliga,Michy Batshuayi,BEL,FW,23,1993,9.3,299,7,16,140,150,49,278,9,21,42.9,9,0,183,582,260,17,3,4,27,19,422,213,50.5,92,https://fbref.com/en/players/2973d8ff/Michy-Batshuayi
2018,Dortmund,Bundesliga,Jacob Bruun Larsen,DEN,DF,18,1998,0.1,2,0,1,1,0,0,2,0,0,NA,0,0,2,13,6,0,0,0,0,0,1,1,100,0,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen
2018,Dortmund,Bundesliga,Roman Bürki,SUI,GK,26,1990,33,1343,935,1295,56,1,0,1040,2,2,100,2,0,778,3546,1740,0,0,0,1,0,666,665,99.8,0,https://fbref.com/en/players/9d12e142/Roman-Burki
2018,Dortmund,Bundesliga,Gonzalo Castro,GER,MF,30,1987,13.4,963,17,117,587,328,18,903,9,13,69.2,9,1,685,2931,1476,82,35,3,13,16,783,685,87.5,56,https://fbref.com/en/players/68829001/Gonzalo-Castro
2018,Dortmund,Bundesliga,Mahmoud Dahoud,GER,MF,21,1996,12.7,824,30,137,501,253,31,816,18,24,75,18,0,635,3694,2034,90,30,6,10,20,670,597,89.1,63,https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud
2018,Dortmund,Bundesliga,Sergio Gómez,ESP,MF,16,2000,0.1,6,0,0,5,1,0,5,0,0,NA,0,0,3,24,5,0,0,0,0,0,6,5,83.3,0,https://fbref.com/en/players/01e5f06e/Sergio-Gomez
2018,Dortmund,Bundesliga,Mario Götze,GER,MF,25,1992,17.8,1229,14,140,616,545,65,1183,29,51,56.9,32,1,941,3967,2126,126,36,12,31,35,1095,916,83.7,149,https://fbref.com/en/players/9efa1d25/Mario-Gotze
2018,Dortmund,Bundesliga,Raphaël Guerreiro,POR,"DF,MF",23,1993,6.1,488,10,66,244,202,22,431,14,23,60.9,16,1,364,1457,720,43,10,2,18,10,388,344,88.7,44,https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro
2018,Dortmund,Bundesliga,Alexander Isak,SWE,"FW,MF",17,1999,1.3,43,0,1,14,29,9,41,2,3,66.7,2,0,26,61,37,2,1,0,3,1,60,34,56.7,21,https://fbref.com/en/players/8e92be30/Alexander-Isak
2018,Dortmund,Bundesliga,Shinji Kagawa,JPN,MF,28,1989,13,895,9,81,548,342,51,847,10,16,62.5,10,0,685,3760,1828,105,40,5,25,19,808,697,86.3,108,https://fbref.com/en/players/5afafbfe/Shinji-Kagawa
2018,Dortmund,Bundesliga,Sokratis Papastathopoulos,GRE,DF,29,1988,26.4,2167,138,831,1364,138,17,2121,6,7,85.7,6,0,1581,9091,5074,174,39,0,10,7,1573,1552,98.7,14,https://fbref.com/en/players/b682dcf6/Sokratis-Papastathopoulos
2018,Dortmund,Bundesliga,Felix Passlack,GER,DF,19,1998,0.1,10,0,4,4,2,0,7,0,0,NA,0,0,5,21,14,0,0,0,0,0,5,5,100,0,https://fbref.com/en/players/5c899683/Felix-Passlack
2018,Dortmund,Bundesliga,Maximilian Philipp,GER,"FW,MF",23,1994,13.4,470,11,49,184,262,64,460,17,22,77.3,20,2,331,1504,786,38,10,9,25,20,510,346,67.8,116,https://fbref.com/en/players/061e8e23/Maximilian-Philipp
2018,Dortmund,Bundesliga,Łukasz Piszczek,POL,DF,32,1985,23.8,1831,90,404,1042,491,38,1581,21,32,65.6,24,4,1074,5410,2551,120,47,3,20,17,1147,1057,92.2,50,https://fbref.com/en/players/fe2db476/Lukasz-Piszczek
2018,Dortmund,Bundesliga,Christian Pulisic,USA,FW,18,1998,25.6,1282,16,136,597,705,140,1248,89,149,59.7,99,4,1122,6725,4123,237,72,47,76,90,1301,971,74.6,197,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic
2018,Dortmund,Bundesliga,Marco Reus,GER,"MF,FW",28,1989,10.3,528,13,48,234,291,56,490,15,26,57.7,16,1,345,1966,1027,49,23,2,18,20,517,360,69.6,110,https://fbref.com/en/players/36a3ff67/Marco-Reus
2018,Dortmund,Bundesliga,Nuri Şahin,TUR,MF,28,1988,13.6,1241,28,194,876,234,19,1196,9,13,69.2,10,1,878,3400,1904,87,22,2,5,9,938,886,94.5,34,https://fbref.com/en/players/f4081572/Nuri-Sahin
2018,Dortmund,Bundesliga,Jadon Sancho,ENG,FW,17,2000,7.7,467,3,45,187,278,58,459,27,43,62.8,30,3,417,2636,1437,85,18,18,21,15,446,368,82.5,75,https://fbref.com/en/players/dbf053da/Jadon-Sancho
2018,Dortmund,Bundesliga,Marcel Schmelzer,GER,DF,29,1988,16.6,1487,60,397,889,281,15,1285,7,12,58.3,7,0,911,4409,2677,105,34,1,14,6,986,924,93.7,24,https://fbref.com/en/players/89565ac5/Marcel-Schmelzer
2018,Dortmund,Bundesliga,André Schürrle,GER,FW,26,1990,13.7,736,12,60,303,436,71,699,31,55,56.4,34,1,549,3157,1637,97,33,14,35,26,740,561,75.8,157,https://fbref.com/en/players/ecbb3fdf/Andre-Schurrle
2018,Dortmund,Bundesliga,Neven Subotić,SRB,DF,28,1988,3,300,18,126,168,14,1,291,0,0,NA,0,0,207,887,433,14,1,0,2,1,200,200,100,0,https://fbref.com/en/players/821233cc/Neven-Subotic
2018,Dortmund,Bundesliga,Jeremy Toljan,GER,DF,22,1994,13.5,985,46,243,532,286,21,867,7,11,63.6,7,0,627,3511,1905,83,29,9,14,5,635,592,93.2,36,https://fbref.com/en/players/a96e5dc0/Jeremy-Toljan
2018,Dortmund,Bundesliga,Ömer Toprak,TUR,DF,28,1989,22.4,2051,135,777,1331,72,17,2005,2,3,66.7,2,0,1530,9044,4447,147,16,0,6,7,1487,1477,99.3,13,https://fbref.com/en/players/c5fd13e9/Omer-Toprak
2018,Dortmund,Bundesliga,Roman Weidenfeller,GER,GK,36,1980,1,44,35,44,0,0,0,30,0,0,NA,0,0,21,92,48,0,0,0,0,0,22,22,100,0,https://fbref.com/en/players/16b8fabd/Roman-Weidenfeller
2018,Dortmund,Bundesliga,Julian Weigl,GER,MF,21,1995,21.6,1463,43,301,1086,159,4,1427,12,18,66.7,12,0,998,4916,2459,103,20,1,10,15,1010,970,96,18,https://fbref.com/en/players/346d51d9/Julian-Weigl
2018,Dortmund,Bundesliga,Andriy Yarmolenko,UKR,"FW,MF",27,1989,11.5,593,8,51,267,327,71,573,25,42,59.5,27,0,486,2835,1633,100,21,22,26,25,637,460,72.2,95,https://fbref.com/en/players/849c826a/Andriy-Yarmolenko
2018,Dortmund,Bundesliga,Dan-Axel Zagadou,FRA,DF,18,1999,7.3,580,22,141,315,155,13,520,6,8,75,6,0,346,1277,559,31,14,0,10,4,373,346,92.8,18,https://fbref.com/en/players/a4effc55/Dan-Axel-Zagadou
2018,Eint Frankfurt,Bundesliga,David Abraham,ARG,DF,31,1986,25.6,1561,151,830,844,43,13,1526,13,14,92.9,13,0,955,6028,3395,78,11,0,5,6,903,890,98.6,6,https://fbref.com/en/players/565bf0da/David-Abraham
2018,Eint Frankfurt,Bundesliga,Aymen Barkok,MAR,"MF,FW",19,1998,3.5,171,3,31,102,52,8,171,8,14,57.1,8,0,124,560,290,17,5,3,10,7,144,108,75,18,https://fbref.com/en/players/a2a85828/Aymen-Barkok
2018,Eint Frankfurt,Bundesliga,Danny Blum,GER,"FW,DF",26,1991,0.3,21,0,2,9,11,2,21,0,0,NA,0,0,15,76,44,4,1,1,4,1,23,16,69.6,3,https://fbref.com/en/players/eb61713c/Danny-Blum
2018,Eint Frankfurt,Bundesliga,Kevin-Prince Boateng,GHA,"MF,FW",30,1987,26.2,1455,38,182,969,372,75,1416,26,44,59.1,28,1,1030,4242,1895,85,30,2,60,47,1232,988,80.2,199,https://fbref.com/en/players/f4ec4fd0/Kevin-Prince-Boateng
2018,Eint Frankfurt,Bundesliga,Marijan Ćavar,BIH,"FW,MF",19,1998,0.4,12,0,2,7,4,0,12,1,1,100,1,0,9,45,27,1,1,0,2,1,12,10,83.3,2,https://fbref.com/en/players/33ec696b/Marijan-Cavar
2018,Eint Frankfurt,Bundesliga,Timothy Chandler,USA,"DF,MF",27,1990,21,1108,39,246,526,398,52,913,3,8,37.5,5,0,591,3390,1822,86,33,8,14,14,733,601,82,81,https://fbref.com/en/players/b3b7f5a6/Timothy-Chandler
2018,Eint Frankfurt,Bundesliga,Danny da Costa,GER,DF,24,1993,13.4,867,35,191,441,273,26,737,8,17,47.1,9,0,452,1953,1001,64,23,2,19,16,551,482,87.5,55,https://fbref.com/en/players/5ddb8f9f/Danny-da-Costa
2018,Eint Frankfurt,Bundesliga,Marco Fabián,MEX,"FW,MF",28,1989,4.7,245,3,21,141,95,13,229,10,14,71.4,11,0,191,1015,330,22,3,0,7,14,230,180,78.3,27,https://fbref.com/en/players/e665a2db/Marco-Fabian
2018,Eint Frankfurt,Bundesliga,Simon Falette,GUI,DF,25,1992,24.6,1519,137,675,869,69,17,1470,7,10,70,7,0,899,5275,2807,90,16,1,6,5,882,870,98.6,13,https://fbref.com/en/players/b82880c6/Simon-Falette
2018,Eint Frankfurt,Bundesliga,Gelson Fernandes,SUI,MF,30,1986,11.5,456,25,126,293,47,4,453,2,2,100,2,0,233,802,350,15,4,2,5,3,230,203,88.3,4,https://fbref.com/en/players/8e58987d/Gelson-Fernandes
2018,Eint Frankfurt,Bundesliga,Mijat Gaćinović,SRB,MF,22,1995,20.2,929,22,141,510,344,70,904,24,56,42.9,27,1,601,2905,1640,77,26,9,38,32,678,528,77.9,111,https://fbref.com/en/players/16daec92/Mijat-Gacinovic
2018,Eint Frankfurt,Bundesliga,Jonathan de Guzmán,NED,MF,29,1987,12.1,762,17,122,474,219,13,682,12,21,57.1,14,1,497,2861,1540,72,23,1,14,16,514,470,91.4,37,https://fbref.com/en/players/1bcca8b8/Jonathan-de-Guzman
2018,Eint Frankfurt,Bundesliga,Sébastien Haller,CIV,FW,23,1994,26.1,1078,43,89,549,491,141,1031,24,46,52.2,24,1,673,2199,1002,60,14,11,105,65,1418,791,55.8,319,https://fbref.com/en/players/ba115a40/Sebastien-Haller
2018,Eint Frankfurt,Bundesliga,Makoto Hasebe,JPN,"DF,MF",33,1984,23.2,1346,114,603,810,71,2,1296,7,8,87.5,7,0,868,5648,3156,60,15,0,8,1,854,822,96.3,10,https://fbref.com/en/players/9ab16552/Makoto-Hasebe
2018,Eint Frankfurt,Bundesliga,Lukáš Hrádecký,FIN,GK,27,1989,34,1372,1045,1367,8,0,0,1025,0,0,NA,0,0,737,4172,2046,0,0,0,0,0,611,610,99.8,0,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky
