Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2018,Augsburg,Bundesliga,Simon Asta,GER,MF,16,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/dfc85b89/Simon-Asta
2018,Augsburg,Bundesliga,Daniel Baier,GER,MF,33,1984,29,29,2538,28.2,0,2,0,0,0,6,0,0,0.07,0.07,0,0.07,0.8,0.8,2,2.8,0.03,0.07,0.1,0.03,0.1,https://fbref.com/en/players/f261abcb/Daniel-Baier
2018,Augsburg,Bundesliga,Caiuby,BRA,"FW,MF",29,1988,33,32,2855,31.7,5,7,5,0,0,8,0,0.16,0.22,0.38,0.16,0.38,4.9,4.9,3.7,8.7,0.16,0.12,0.27,0.16,0.27,https://fbref.com/en/players/c6637acf/Caiuby
2018,Augsburg,Bundesliga,Sergio Córdova,VEN,"FW,MF",19,1997,26,3,586,6.5,2,1,2,0,0,3,0,0.31,0.15,0.46,0.31,0.46,2,2,0.9,2.9,0.3,0.14,0.44,0.3,0.44,https://fbref.com/en/players/229cd98a/Sergio-Cordova
2018,Augsburg,Bundesliga,Kevin Danso,AUT,DF,18,1998,16,13,1105,12.3,2,0,2,0,0,2,0,0.16,0,0.16,0.16,0.16,2,2,0.4,2.3,0.16,0.03,0.19,0.16,0.19,https://fbref.com/en/players/6e33125f/Kevin-Danso
2018,Augsburg,Bundesliga,Ji Dong-won,KOR,"FW,MF",26,1991,3,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/7d841904/Ji-Dong-won
2018,Augsburg,Bundesliga,Alfreð Finnbogason,ISL,FW,28,1989,22,22,1814,20.2,12,3,9,3,3,2,0,0.6,0.15,0.74,0.45,0.6,10.6,8.4,2.8,11.2,0.53,0.14,0.67,0.41,0.56,https://fbref.com/en/players/f9e7c4ac/Alfred-Finnbogason
2018,Augsburg,Bundesliga,Raphael Framberger,GER,DF,21,1995,9,7,696,7.7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1.4,1.4,0,0.18,0.18,0,0.18,https://fbref.com/en/players/626fab5f/Raphael-Framberger
2018,Augsburg,Bundesliga,Jeffrey Gouweleeuw,NED,DF,26,1991,27,27,2385,26.5,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0.4,1.3,0.04,0.01,0.05,0.04,0.05,https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw
2018,Augsburg,Bundesliga,Michael Gregoritsch,AUT,"MF,FW",23,1994,32,30,2527,28.1,13,3,12,1,1,3,0,0.46,0.11,0.57,0.43,0.53,10.1,9.4,2.1,11.5,0.36,0.08,0.44,0.33,0.41,https://fbref.com/en/players/8e235926/Michael-Gregoritsch
2018,Augsburg,Bundesliga,Marcel Heller,GER,"FW,MF",31,1986,24,14,1299,14.4,0,1,0,0,0,1,1,0,0.07,0.07,0,0.07,2.1,2.1,1.8,3.9,0.15,0.13,0.27,0.15,0.27,https://fbref.com/en/players/11dbba47/Marcel-Heller
2018,Augsburg,Bundesliga,Martin Hinteregger,AUT,DF,24,1992,30,29,2655,29.5,0,0,0,0,0,3,0,0,0,0,0,0,2.5,2.5,0.3,2.8,0.08,0.01,0.09,0.08,0.09,https://fbref.com/en/players/080440a4/Martin-Hinteregger
2018,Augsburg,Bundesliga,Marwin Hitz,SUI,GK,29,1987,32,32,2880,32,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2018,Augsburg,Bundesliga,Koo Ja-cheol,KOR,"MF,FW",28,1989,28,23,2046,22.7,2,0,2,0,0,2,0,0.09,0,0.09,0.09,0.09,2.9,2.9,1.1,3.9,0.13,0.05,0.17,0.13,0.17,https://fbref.com/en/players/3c05e082/Koo-Ja-cheol
2018,Augsburg,Bundesliga,Kilian Jakob,GER,FW,19,1998,1,1,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.22,0,0.22,0.22,0.22,https://fbref.com/en/players/99d6044d/Kilian-Jakob
2018,Augsburg,Bundesliga,Christoph Janker,GER,DF,32,1985,5,0,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/cf01fe3a/Christoph-Janker
2018,Augsburg,Bundesliga,Gojko Kačar,SRB,DF,30,1987,6,3,228,2.5,1,0,1,0,0,1,0,0.39,0,0.39,0.39,0.39,0.4,0.4,0,0.4,0.16,0,0.16,0.16,0.16,https://fbref.com/en/players/cc58c4ea/Gojko-Kacar
2018,Augsburg,Bundesliga,Rani Khedira,GER,"MF,DF",23,1994,30,27,2275,25.3,1,1,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,1.7,1.7,0.8,2.5,0.07,0.03,0.1,0.07,0.1,https://fbref.com/en/players/59e4b92e/Rani-Khedira
2018,Augsburg,Bundesliga,Andreas Luthe,GER,GK,30,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/7fe12375/Andreas-Luthe
2018,Augsburg,Bundesliga,Philipp Max,GER,DF,23,1993,33,33,2959,32.9,2,12,2,0,0,5,0,0.06,0.36,0.43,0.06,0.43,1.1,1.1,8.8,9.9,0.03,0.27,0.3,0.03,0.3,https://fbref.com/en/players/826e8b63/Philipp-Max
